ticker,name,exchange,commodity,current_price,day_change_percent,market_cap,currency,last_updated
SLI,Standard Lithium Ltd.,TSXV,Lithium,7.289999961853027,-0.82,1737039532.3204527,CAD,2026-01-15T06:44:58.418268
RUP,Rupert Resources Ltd.,TSX,Gold,7.170000076293945,0.14,1679812490.6044102,CAD,2026-01-15T06:44:59.110083
RBX,Robex Resources Inc.,TSXV,Gold,6.099999904632568,-1.61,1678981816.2507892,CAD,2026-01-15T06:44:59.710185
NDM,Northern Dynasty Minerals Ltd.,TSX,Gold,2.9700000286102295,0.68,1641024991.9481149,CAD,2026-01-15T06:45:00.459351
RIO,Rio2 Limited,TSX,Gold,3.5899999141693115,-0.28,1543246844.0736372,CAD,2026-01-15T06:45:01.166111
FFM,FireFly Metals Ltd.,TSX,Gold,2.0,3.63,1537002490.0,CAD,2026-01-15T06:45:01.958450
VMET,Versamet Royalties Corporation,TSXV,Gold,16.09000015258789,0.0,1502280514.8467255,CAD,2026-01-15T06:45:10.198905
APM,Andean Precious Metals Corp.,TSX,Gold,10.079999923706055,-0.69,1497696861.7841663,CAD,2026-01-15T06:45:02.584319
ASE,Asante Gold Corporation,TSXV,Gold,1.8799999952316284,1.08,1465131767.0838869,CAD,2026-01-15T06:45:03.247465
ASM,Avino Silver & Gold Mines Ltd.,TSX,Gold,9.289999961853027,2.99,1457121852.9767075,CAD,2026-01-15T06:45:03.770795
NFG,New Found Gold Corp.,TSXV,Gold,4.210000038146973,1.94,1440672512.7939892,CAD,2026-01-15T06:45:04.340279
MARI,Marimaca Copper Corp.,TSX,Copper,11.829999923706055,0.17,1413143803.8763638,CAD,2026-01-15T06:45:04.922033
SCZ,Santacruz Silver Mining Ltd.,TSXV,Silver,15.399999618530273,-1.16,1406730243.9542198,CAD,2026-01-15T06:45:05.567602
GGD,GoGold Resources Inc.,TSX,Gold,3.240000009536743,0.31,1402394333.5678625,CAD,2026-01-15T06:45:06.259975
TMQ,Trilogy Metals Inc.,TSX,Copper,7.849999904632568,8.28,1342820104.4864578,CAD,2026-01-15T06:45:06.891755
ODV,Osisko Development Corp.,TSXV,Gold,5.050000190734863,-0.59,1288083934.4500008,CAD,2026-01-15T06:45:07.576685
ATX,ATEX Resources Inc.,TSXV,Gold,3.7300000190734863,4.19,1287461551.27348,CAD,2026-01-15T06:45:08.144971
ORE,Orezone Gold Corporation,TSX,Gold,2.119999885559082,3.92,1267515790.2575102,CAD,2026-01-15T06:45:08.778392
ASCU,Arizona Sonoran Copper Company Inc.,TSX,Copper,5.639999866485596,0.71,1176821842.5413704,CAD,2026-01-15T06:45:09.366670
GAU,Galiano Gold Inc.,TSX,Gold,4.059999942779541,1.75,1116190859.9287305,CAD,2026-01-15T06:45:11.998013
PMET,PMET Resources Inc.,TSX,Lithium,6.800000190734863,2.56,1103437635.7505913,CAD,2026-01-15T06:45:10.736565
ITR,Integra Resources Corp.,TSXV,Gold,5.889999866485596,-2.0,1069625672.0737457,CAD,2026-01-15T06:45:11.379136
MTA,Metalla Royalty & Streaming Ltd.,TSXV,Gold,11.319999694824219,-0.18,1047794861.2725067,CAD,2026-01-15T06:45:12.616364
AMRQ,Amaroq Ltd.,TSXV,Gold,2.1500000953674316,-2.71,996845011.5169973,CAD,2026-01-15T06:45:13.215877
OMG,OMAI Gold Mines Corp.,TSXV,Gold,1.5299999713897705,0.66,972639006.74214,CAD,2026-01-15T06:45:13.778811
WRN,Western Copper and Gold Corporation,TSX,Gold,4.739999771118164,1.94,957747412.9929543,CAD,2026-01-15T06:45:14.450454
NUAG,New Pacific Metals Corp.,TSX,Gold,5.139999866485596,-1.53,944404069.16857,CAD,2026-01-15T06:45:15.176994
THX,Thor Explorations Ltd.,TSXV,Gold,1.409999966621399,1.44,939868099.5107212,CAD,2026-01-15T06:45:15.841557
URE,Ur-Energy Inc.,TSX,Gold,2.490000009536743,4.62,936771932.3278527,CAD,2026-01-15T06:45:16.368197
TLG,Troilus Gold Corp.,TSX,Gold,1.7000000476837158,-0.58,929381821.8684573,CAD,2026-01-15T06:45:17.035228
NCX,NorthIsle Copper and Gold Inc.,TSXV,Gold,3.1700000762939453,4.97,925028066.4431038,CAD,2026-01-15T06:45:17.622225
UCU,Ucore Rare Metals Inc.,TSXV,Rare Earths,8.529999732971191,8.39,916201070.0086298,CAD,2026-01-15T06:45:18.205810
ARG,Amerigo Resources Ltd.,TSX,Copper,5.559999942779541,-0.54,914571435.1077342,CAD,2026-01-15T06:45:18.914788
NICU,Magna Mining Inc.,TSXV,Copper,3.6500000953674316,7.04,911817473.8240242,CAD,2026-01-15T06:45:19.494780
TLO,Talon Metals Corp.,TSX,Nickel,0.6100000143051147,-1.61,901734962.3665931,CAD,2026-01-15T06:45:20.041181
FVL,Freegold Ventures Limited,TSX,Gold,1.5399999618530273,-0.65,879812404.0063763,CAD,2026-01-15T06:45:20.667344
